500 120000
266 351 3018
33 440 2606
342 418 2930
109 365 7513
381 392 9595
132 420 9633
425 438 6970
5 178 9408
464 476 6282
247 483 1779
284 367 7263
104 115 4486
30 287 8020
270 302 6562
76 201 6786
189 422 8214
228 412 7337
32 367 6006
87 459 2597
18 334 1529
327 472 1041
246 296 8247
156 192 2750
29 334 5930
89 227 4592
269 479 2706
15 143 8738
308 443 3796
75 400 3766
114 374 7119
167 448 6958
86 240 7504
17 287 7458
56 323 1085
296 338 39
169 228 2249
118 129 3565
155 393 9665
28 185 8923
194 337 606
74 299 8929
113 263 2705
166 267 3378
60 266 6183
353 496 6305
99 244 6486
136 330 2840
445 448 3058
212 445 719
251 401 7323
288 389 4475
198 248 5932
71 138 2606
2 399 3348
311 443 827
41 179 498
350 455 9812
154 370 3928
193 280 2721
140 257 2663
179 221 5803
292 452 9076
112 200 9939
59 435 8848
331 438 5587
98 407 7430
151 387 3960
338 390 6258
391 400 9424
84 102 4559
211 236 4914
250 330 6584
197 449 6898
70 81 8426
236 361 1738
273 497 2100
116 311 2150
192 207 8786
102 326 1044
139 456 4452
12 90 4060
178 430 8087
254 413 986
330 373 1659
277 330 2758
150 200 723
44 459 3188
196 286 1140
468 475 7422
235 304 1871
182 345 3290
55 197 1452
221 253 5946
258 361 9117
25 402 342
334 388 3824
101 391 8767
373 418 1876
417 456 3244
36 310 9638
22 353 5603
315 489 749
262 304 7185
135 194 9452
121 426 16
174 412 6708
68 231 3369
181 384 1480
220 426 7768
79 481 7374
10 312 1975
395 494 3994
162 495 5938
238 322 3779
148 174 9448
21 408 4448
208 369 8302
261 393 4310
81 133 3363
7 149 6270
300 417 1655
120 349 4270
67 438 5105
159 494 6658
78 218 1664
9 497 2320
318 325 2672
48 345 6381
357 417 4085
124 428 7937
200 356 9598
110 235 5241
147 351 6148
440 467 6953
20 215 7183
186 315 5636
6 486 8398
66 277 4924
105 297 6691
158 317 3314
345 474 1604
91 202 8051
128 368 557
437 490 8022
204 427 4159
243 439 8804
280 427 1767
63 96 6904
123 221 1181
303 465 9269
33 53 9094
109 482 6808
146 364 1773
185 498 8975
132 303 9266
5 39 3173
171 195 6768
104 254 9870
284 482 5747
51 409 7315
323 412 5141
143 425 6569
203 242 1645
76 124 5577
242 340 6297
189 315 2406
228 263 4346
265 283 9677
108 301 3788
380 458 2192
18 197 6089
94 360 2566
4 112 8643
170 408 4010
246 423 3402
